Team,Match_played,Won,Drawn,Lost,Goal,Goal_against,Diff,Pts
Liverpool,13,8,1,4,24,12,+12,25
Tottenham,13,6,2,5,20,19,+1,20
Barcelona,12,8,3,1,26,10,+16,27
Ajax,12,6,4,2,22,13,+9,22
Manchester City,10,7,1,2,30,12,+18,22
Porto,10,6,1,3,20,15,+5,19
Juventus,10,5,1,4,14,9,+5,16
Manchester Utd,10,4,1,5,10,11,-1,13
Atlético Madrid,8,5,1,2,11,9,+2,16
Bayern Munich,8,4,3,1,16,8,+8,15
Real Madrid,8,5,0,3,15,10,+5,15
Paris S-G,8,4,2,2,20,12,+8,14
Dortmund,8,4,1,3,10,6,+4,13
Roma,8,4,0,4,14,12,+2,12
Schalke 04,8,3,2,3,8,14,-6,11
Lyon,8,1,6,1,13,16,-3,9
Napoli,6,2,3,1,7,5,+2,9
Valencia,6,2,2,2,6,6,0,8
Inter,6,2,2,2,6,7,-1,8
CSKA Moscow,6,2,1,3,8,9,-1,7
Benfica,6,2,1,3,6,11,-5,7
Viktoria Plzeň,6,2,1,3,7,16,-9,7
Club Brugge,6,1,3,2,6,5,+1,6
Shakhtar,6,1,3,2,8,16,-8,6
Galatasaray,6,1,1,4,5,8,-3,4
Young Boys,6,1,1,4,4,12,-8,4
Red Star,6,1,1,4,5,17,-12,4
Hoffenheim,6,0,3,3,11,14,-3,3
Loko Moscow,6,1,0,5,4,12,-8,3
PSV Eindhoven,6,0,2,4,6,13,-7,2
Monaco,6,0,1,5,2,14,-12,1
AEK Athens,6,0,0,6,2,13,-11,0
Real Madrid,13,9,2,2,33,16,+17,29
Liverpool,13,7,4,2,41,16,+25,25
Bayern Munich,12,8,2,2,26,12,+14,26
Roma,12,6,2,4,21,19,+2,20
Barcelona,10,6,3,1,17,6,+11,21
Manchester City,10,6,0,4,20,12,+8,18
Juventus,10,5,3,2,14,12,+2,18
Sevilla,10,3,5,2,15,15,0,14
Tottenham,8,5,2,1,18,8,+10,17
Manchester Utd,8,5,1,2,13,5,+8,16
Paris S-G,8,5,0,3,27,9,+18,15
Basel,8,5,0,3,13,10,+3,15
Shakhtar,8,5,0,3,11,11,0,15
Beşiktaş,8,4,2,2,12,13,-1,14
Chelsea,8,3,3,2,17,12,+5,12
Porto,8,3,2,3,15,15,0,11
CSKA Moscow,6,3,0,3,8,10,-2,9
Atlético Madrid,6,1,4,1,5,4,+1,7
Sporting CP,6,2,1,3,8,9,-1,7
RB Leipzig,6,2,1,3,10,11,-1,7
Napoli,6,2,0,4,11,11,0,6
Spartak Moscow,6,1,3,2,9,13,-4,6
Feyenoord,6,1,0,5,5,14,-9,3
NK Maribor,6,0,3,3,3,16,-13,3
Celtic,6,1,0,5,5,18,-13,3
Anderlecht,6,1,0,5,2,17,-15,3
Dortmund,6,0,2,4,7,13,-6,2
Monaco,6,0,2,4,6,16,-10,2
Qarabağ FK,6,0,2,4,2,14,-12,2
APOEL FC,6,0,2,4,2,17,-15,2
Olympiacos,6,0,1,5,4,13,-9,1
Benfica,6,0,0,6,1,14,-13,0
Real Madrid,13,9,3,1,35,18,+17,30
Juventus,13,9,3,1,22,6,+16,30
Atlético Madrid,12,9,1,2,18,10,+8,28
Monaco,12,5,3,4,19,19,0,18
Barcelona,10,6,1,3,26,12,+14,19
Bayern Munich,10,6,0,4,27,14,+13,18
Dortmund,10,5,2,3,28,16,+12,17
Leicester City,10,5,2,3,11,10,+1,17
Paris S-G,8,4,3,1,18,13,+5,15
Arsenal,8,4,2,2,20,16,+4,14
Sevilla,8,4,2,2,9,6,+3,14
Manchester City,8,3,4,1,17,13,+4,13
Porto,8,3,2,3,9,6,+3,11
Napoli,8,3,2,3,13,14,-1,11
Benfica,8,3,2,3,11,14,-3,11
Leverkusen,8,2,4,2,11,11,0,10
FC Copenhagen,6,2,3,1,7,2,+5,9
Lyon,6,2,2,2,5,3,+2,8
Tottenham,6,2,1,3,6,6,0,7
Beşiktaş,6,1,4,1,9,14,-5,7
Dynamo Kyiv,6,1,2,3,8,6,+2,5
Rostov,6,1,2,3,6,12,-6,5
M'Gladbach,6,1,2,3,5,12,-7,5
Legia Warsaw,6,1,1,4,9,24,-15,4
Sporting CP,6,1,0,5,5,8,-3,3
CSKA Moscow,6,0,3,3,5,11,-6,3
Ludogorets,6,0,3,3,6,15,-9,3
Celtic,6,0,3,3,5,16,-11,3
PSV Eindhoven,6,0,2,4,4,11,-7,2
Basel,6,0,2,4,3,12,-9,2
Club Brugge,6,0,0,6,2,14,-12,0
Dinamo Zagreb,6,0,0,6,0,15,-15,0
Real Madrid,13,9,3,1,28,6,+22,30
Atlético Madrid,13,6,4,3,17,8,+9,22
Bayern Munich,12,8,2,2,30,11,+19,26
Manchester City,12,6,3,3,18,12,+6,21
Barcelona,10,7,2,1,22,8,+14,23
Wolfsburg,10,7,0,3,15,11,+4,21
Paris S-G,10,6,2,2,18,6,+12,20
Benfica,10,5,2,3,15,12,+3,17
Zenit,8,5,0,3,14,9,+5,15
Chelsea,8,4,1,3,15,7,+8,13
Dynamo Kyiv,8,3,3,2,9,7,+2,12
Juventus,8,3,3,2,10,9,+1,12
PSV Eindhoven,8,3,3,2,8,7,+1,12
Gent,8,3,1,4,10,11,-1,10
Arsenal,8,3,0,5,13,15,-2,9
Roma,8,1,3,4,11,20,-9,6
BATE Borisov,12,4,4,4,11,16,-5,16
FC Astana,12,3,6,3,14,17,-3,15
Dinamo Zagreb,12,4,3,5,17,21,-4,15
Manchester Utd,8,4,2,2,14,8,+6,14
Malmö,12,4,1,7,9,26,-17,13
CSKA Moscow,10,3,2,5,14,16,-2,11
Shakhtar,10,3,2,5,13,16,-3,11
Porto,6,3,1,2,9,8,+1,10
Leverkusen,8,2,3,3,16,13,+3,9
Valencia,8,3,0,5,9,12,-3,9
Olympiacos,6,3,0,3,6,13,-7,9
Maccabi Tel Aviv,12,2,2,8,13,24,-11,8
Sevilla,6,2,0,4,8,11,-3,6
M'Gladbach,6,1,2,3,8,12,-4,5
Galatasaray,6,1,2,3,6,10,-4,5
Lyon,6,1,1,4,5,9,-4,4
Barcelona,13,11,0,2,31,11,+20,33
Juventus,13,7,3,3,17,10,+7,24
Real Madrid,12,8,2,2,24,9,+15,26
Bayern Munich,12,8,1,3,33,13,+20,25
Porto,12,8,3,1,28,12,+16,27
Atlético Madrid,10,5,2,3,15,5,+10,17
Monaco,10,4,3,3,7,5,+2,15
Paris S-G,10,4,3,3,14,15,-1,15
Arsenal,10,6,2,2,19,11,+8,20
Leverkusen,10,6,1,3,15,7,+8,19
Chelsea,8,4,4,0,20,6,+14,16
Dortmund,8,4,1,3,15,9,+6,13
Schalke 04,8,3,2,3,13,19,-6,11
Shakhtar,8,2,4,2,15,11,+4,10
Manchester City,8,2,2,4,10,11,-1,8
Basel,8,2,2,4,8,13,-5,8
Zenit,10,5,1,4,11,7,+4,16
NK Maribor,12,3,6,3,11,16,-5,15
Ludogorets,12,3,4,5,13,18,-5,13
Malmö,12,4,1,7,13,21,-8,13
BATE Borisov,12,3,3,6,10,28,-18,12
Athletic Club,8,3,2,3,9,8,+1,11
Olympiacos,6,3,0,3,10,13,-3,9
APOEL FC,10,2,3,5,10,15,-5,9
Sporting CP,6,2,1,3,12,12,0,7
Anderlecht,6,1,3,2,8,10,-2,6
Ajax,6,1,2,3,8,10,-2,5
Liverpool,6,1,2,3,5,9,-4,5
Benfica,6,1,2,3,2,6,-4,5
Roma,6,1,2,3,8,14,-6,5
CSKA Moscow,6,1,2,3,6,13,-7,5
Galatasaray,6,0,1,5,4,19,-15,1
Real Madrid,13,10,2,1,41,10,+31,32
Atlético Madrid,13,7,5,1,26,10,+16,26
Bayern Munich,12,6,4,2,24,13,+11,22
Chelsea,12,4,5,3,19,10,+9,17
Paris S-G,10,6,2,2,25,9,+16,20
Barcelona,10,5,3,2,21,8,+13,18
Manchester Utd,10,5,3,2,17,9,+8,18
Dortmund,10,5,2,3,18,13,+5,17
Arsenal,10,5,2,3,14,8,+6,17
Zenit,12,4,5,3,23,17,+6,17
Manchester City,8,5,0,3,19,14,+5,15
Schalke 04,10,4,2,4,12,18,-6,14
Olympiacos,8,4,1,3,12,11,+1,13
Milan,10,2,5,3,13,11,+2,11
Leverkusen,8,3,1,4,10,16,-6,10
Galatasaray,8,2,2,4,9,17,-8,8
Viktoria Plzeň,12,6,1,5,26,24,+2,19
Basel,10,4,4,2,15,11,+4,16
Steaua,12,3,6,3,13,15,-2,15
Austria Wien,10,3,4,3,10,13,-3,13
Napoli,6,4,0,2,10,9,+1,12
Celtic,12,3,3,6,12,16,-4,12
Benfica,6,3,1,2,8,8,0,10
Shakhtar,6,2,2,2,7,6,+1,8
Ajax,6,2,2,2,5,8,-3,8
Juventus,6,1,3,2,9,9,0,6
Porto,6,1,2,3,4,7,-3,5
Real Sociedad,8,1,2,5,5,10,-5,5
FC Copenhagen,6,1,1,4,4,13,-9,4
CSKA Moscow,6,1,0,5,8,17,-9,3
Anderlecht,6,0,1,5,4,17,-13,1
Marseille,6,0,0,6,5,14,-9,0
Bayern Munich,13,10,2,1,31,11,+20,32
Dortmund,13,5,6,2,24,14,+10,21
Real Madrid,12,5,4,3,26,18,+8,19
Barcelona,12,4,5,3,18,17,+1,17
Paris S-G,10,6,3,1,20,8,+12,21
Málaga,12,4,6,2,18,9,+9,18
Juventus,10,4,5,1,17,8,+9,17
Galatasaray,10,4,3,3,14,14,0,15
Celtic,12,6,2,4,17,14,+3,20
Porto,8,5,1,2,11,6,+5,16
Valencia,8,4,2,2,14,8,+6,14
Schalke 04,8,3,5,0,13,10,+3,14
Manchester Utd,8,4,2,2,11,9,+2,14
Arsenal,8,4,1,3,13,11,+2,13
Shakhtar,8,3,2,3,14,13,+1,11
Milan,8,3,2,3,9,10,-1,11
CFR Cluj,10,6,2,2,15,9,+6,20
BATE Borisov,12,5,3,4,18,19,-1,18
